location,state,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours,
Mobile_Plain,Washington,US,pm25,151.0,2018-08-15 13:00:00+00:00,µg/m³,AirNow,47.768566,-120.66451,1.0,
Plain_Mobile,Washington,US,pm25,0.0,2018-11-09 23:00:00+00:00,µg/m³,AirNow,47.76861,-120.66445,1.0,
Cle Elum_Mobile,Washington,US,pm25,0.0,2018-08-17 22:00:00+00:00,µg/m³,AirNow,47.197544,-120.95823,1.0,
Leavenworth_Mobile,Washington,US,pm25,10.0,2018-11-09 19:00:00+00:00,µg/m³,AirNow,47.55857,-120.67267,1.0,
Mobile_Cle Elum,Washington,US,pm25,62.0,2018-08-21 13:00:00+00:00,µg/m³,AirNow,47.197598,-120.95827,1.0,
Mobile_WhiteSalmon,Washington,US,pm25,58.0,2018-08-08 11:00:00+00:00,µg/m³,AirNow,48.186474,-117.04903,1.0,
Brewster_Mobile,Washington,US,pm25,7.0,2018-09-13 18:00:00+00:00,µg/m³,AirNow,48.08879,-119.78456,1.0,
Mobile_Newport,Washington,US,pm25,29.0,2018-08-09 23:00:00+00:00,µg/m³,AirNow,48.18639,-117.04907,1.0,
Newport_Mobile,Washington,US,pm25,-2.0,2018-09-16 22:00:00+00:00,µg/m³,AirNow,48.186527,-117.04905,1.0,
Mobile_Newport_2017,Washington,US,pm25,26.0,2018-08-09 11:00:00+00:00,µg/m³,AirNow,47.76863,-120.6645,1.0,
Near Road,Idaho,US,pm25,3.9,2019-04-01 18:00:00+00:00,µg/m³,AirNow,43.59393,-116.38125,1.0,
Near Road,Idaho,US,bc,0.82,2019-04-01 18:00:00+00:00,µg/m³,AirNow,43.59393,-116.38125,1.0,
Near Road,Idaho,US,co,0.29,2017-04-07 15:00:00+00:00,ppm,AirNow,43.59393,-116.38125,1.0,
Near Road,Idaho,US,pm10,15.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,43.59393,-116.38125,1.0,
Near Road,Idaho,US,no2,0.01,2017-04-07 15:00:00+00:00,ppm,AirNow,43.59393,-116.38125,1.0,
MMFRA1001,California,US,pm25,8.0,2018-08-23 21:00:00+00:00,µg/m³,AirNow,39.43974,-121.07103,1.0,
GBUAPCD EBAM 1,California,US,pm25,3.0,2016-09-19 22:00:00+00:00,µg/m³,AirNow,37.95683,-119.12087,1.0,
GBUAPCD EBAM @ Coso,California,US,pm25,20.0,2017-07-19 16:00:00+00:00,µg/m³,AirNow,36.049404,-117.94383,1.0,
GBUAPCD EBAM @ June,California,US,pm25,-2.0,2018-10-05 17:00:00+00:00,µg/m³,AirNow,37.784397,-119.07365,1.0,
GBUAPCD EBAM @ Alpin,California,US,pm25,14.0,2018-07-02 19:00:00+00:00,µg/m³,AirNow,37.78431,-119.07379,1.0,
GBUAPCD EBAM @ Bisho,California,US,pm25,1.0,2017-01-18 23:00:00+00:00,µg/m³,AirNow,37.36066,-118.330826,1.0,
GBUAPCD EBAM @ Bridg,California,US,pm25,4.0,2018-10-05 15:00:00+00:00,µg/m³,AirNow,38.257656,-119.21848,1.0,
GBUAPCD EBAM @ Crowl,California,US,pm25,12.0,2018-07-18 20:00:00+00:00,µg/m³,AirNow,37.56675,-118.742,1.0,
