location,city,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours,
Location where data was measured,City containing location,Country containing measurement in 2 letter ISO code,Name of the Pollutant being measured. Allowed values: PM25| PM10| SO2| NO2| O3| CO| BC,Latest measured value for the pollutant,The datetime at which the pollutant was measured| in ISO 8601 format,The unit the value was measured in coded by UCUM Code,Name of the source of the data,Latitude in decimal degrees. Precision >3 decimal points.,Longitude in decimal degrees. Precision >3 decimal points.,The number of hours the value was averaged over.,
Mobile_Plain,007,US,pm25,151.0,2018-08-15 13:00:00+00:00,µg/m³,AirNow,47.768566,-120.66451,1.0,
Plain_Mobile,007,US,pm25,0.0,2018-11-09 23:00:00+00:00,µg/m³,AirNow,47.76861,-120.66445,1.0,
Cle Elum_Mobile,007,US,pm25,0.0,2018-08-17 22:00:00+00:00,µg/m³,AirNow,47.197544,-120.95823,1.0,
Leavenworth_Mobile,007,US,pm25,10.0,2018-11-09 19:00:00+00:00,µg/m³,AirNow,47.55857,-120.67267,1.0,
Mobile_Cle Elum,037,US,pm25,62.0,2018-08-21 13:00:00+00:00,µg/m³,AirNow,47.197598,-120.95827,1.0,
Mobile_WhiteSalmon,039,US,pm25,58.0,2018-08-08 11:00:00+00:00,µg/m³,AirNow,48.186474,-117.04903,1.0,
Brewster_Mobile,047,US,pm25,7.0,2018-09-13 18:00:00+00:00,µg/m³,AirNow,48.08879,-119.78456,1.0,
Mobile_Newport,051,US,pm25,29.0,2018-08-09 23:00:00+00:00,µg/m³,AirNow,48.18639,-117.04907,1.0,
Newport_Mobile,051,US,pm25,-2.0,2018-09-16 22:00:00+00:00,µg/m³,AirNow,48.186527,-117.04905,1.0,
Mobile_Newport_2017,051,US,pm25,26.0,2018-08-09 11:00:00+00:00,µg/m³,AirNow,47.76863,-120.6645,1.0,
Near Road,ADA,US,pm25,3.9,2019-04-01 18:00:00+00:00,µg/m³,AirNow,43.59393,-116.38125,1.0,
Near Road,ADA,US,bc,0.82,2019-04-01 18:00:00+00:00,µg/m³,AirNow,43.59393,-116.38125,1.0,
